id,card_type,customer_id
4508783279677033,visa-electron,116-06-1523
503854927401717214,maestro,212-18-4196
3563761037432812,jcb,378-91-8559
3583474670190277,jcb,670-42-4209
4508080075341041,visa-electron,263-67-0780
3530902459458691,jcb,158-75-8981
3583613636009150,jcb,224-14-1284
3580781497180536,jcb,649-98-5606
3531580018019144,jcb,633-29-0750
201562915159970,diners-club-enroute,631-38-5146
201835812505242,diners-club-enroute,344-16-5378
3544569840568795,jcb,423-42-9179
3588917293934070,jcb,811-25-5089
3536673853342666,jcb,298-58-5799
6304772699954677,laser,744-31-3607
3534078307812177,jcb,450-14-3544
3587545861804820,jcb,107-94-6499
3575088138570696,jcb,503-41-8571
6759041671732893,maestro,137-17-4818
374622701487927,americanexpress,810-51-6924
3534101289172350,jcb,155-05-7908
3582245918238891,jcb,505-48-5184
67093137851794716,laser,653-87-4456
3536458082329571,jcb,707-38-4393
36103908006760,diners-club-international,198-99-7254
3559883669427666,jcb,841-40-1431
337941380127893,americanexpress,311-89-0967
58932692090484663,maestro,480-34-7713
4917338151645056,visa-electron,124-95-8194
5602218347802810,china-unionpay,402-17-5502
3533087672380661,jcb,527-79-0598
30567977243213,diners-club-carte-blanche,505-16-3616
201800525173324,diners-club-enroute,450-57-7446
3588298776494076,jcb,796-60-8534
4017951033307,visa,201-91-3601
560225181552117244,china-unionpay,675-88-3224
3547545795551546,jcb,725-81-2112
6763124613549446597,maestro,193-61-6554
3549731533675494,jcb,701-08-2445
3564710847664824,jcb,542-20-6472
3536267153657020,jcb,599-51-8159
3536218245943282,jcb,640-62-5743
3585667625569911,jcb,774-11-5205
3530930191459115,jcb,839-18-3688
5100176970956518,mastercard,240-56-5440
6394506477384124,instapayment,816-88-9760
3573305129034603,jcb,852-42-3139
3588563398401845,jcb,256-49-9437
3546328442864294,jcb,775-44-7698
6386850099162207,instapayment,897-34-9181
63048599904905752,maestro,503-27-2581
3581433436359602,jcb,635-11-7309
3584711923995443,jcb,160-18-5503
201524375031586,diners-club-enroute,611-15-9612
3528636644820233,jcb,505-64-5161
4844141102589664,visa-electron,244-75-1178
4917260147697605,visa-electron,231-45-5491
3574949468913379,jcb,362-05-3004
3546329803042280,jcb,545-59-6762
3569145455318105,jcb,125-36-2712
