id,card_id,merchant_id,date,amount
1,3581138647869071,64092-120,2021-03-08 19:39:04,57
2,3553751342043224,51060-037,2021-07-10 08:16:07,762
3,3530046237633025,50436-6526,2021-11-16 01:18:53,734
4,3569337470610596,52099-8005,2021-03-31 11:24:45,56
5,4508963695011104,59011-750,2021-09-03 00:48:30,436
6,3558203325021244,49288-0675,2021-02-16 21:24:30,886
7,6761127834426691,0615-5541,2021-06-21 00:05:06,465
8,6397205751579130,36800-205,2021-11-16 02:45:39,400
9,676757924049134086,0179-0063,2021-06-13 06:56:32,453
10,5573362159001890,52584-921,2021-12-06 12:49:32,990
11,372301694425986,21695-666,2021-02-27 08:38:27,450
12,5100177348455274,29860-217,2021-02-03 15:15:30,843
13,5602245381682485,61096-0017,2022-01-17 20:53:23,918
14,67613844902417913,63402-208,2021-03-20 09:18:30,229
15,5100139099928065,64269-9907,2021-08-07 23:43:24,384
16,6395719891179322,59762-5091,2021-02-06 14:29:08,475
17,490386353168286086,0536-2220,2021-07-23 04:26:02,253
18,4745463150376772,64205-224,2021-10-09 21:13:43,653
19,3560156477515395,63304-549,2021-10-04 03:58:03,553
20,3567415367914479,67877-211,2021-09-25 10:55:11,929
21,5641823303238330,51060-037,2021-07-29 04:03:01,505
22,201882681233811,0179-0063,2021-08-01 23:22:21,141
23,5191211088940243,64092-120,2021-04-25 21:28:48,419
24,3543575378421670,61096-0017,2022-01-19 23:33:30,197
25,5100135251807881,52099-8005,2021-02-18 23:08:33,638
26,67621660904467783,0536-2220,2021-12-22 00:23:24,571
27,5048370413418963,64269-9907,2021-12-27 17:12:54,104
28,4911533139048157016,59762-5091,2021-03-20 03:40:41,898
29,3539050192723137,21695-666,2021-12-13 23:22:58,660
30,6381794212598654,36800-205,2021-07-19 01:17:12,147
31,5602211151330176,29860-217,2022-01-10 13:56:52,287
32,337941525546353,50436-6526,2021-05-17 22:40:16,179
33,201477441119689,0615-5541,2021-03-02 16:12:17,716
34,3532872043745077,63304-549,2021-06-20 11:28:27,904
35,6333084245184245925,64205-224,2021-06-21 21:20:09,848
36,337941969038578,63402-208,2021-08-01 06:55:58,617
37,3587847925524745,59011-750,2021-10-09 16:15:56,806
38,3551712769143469,52584-921,2021-12-20 12:10:30,780
39,30113550510163,49288-0675,2021-07-12 15:59:55,209
40,374288417444006,67877-211,2021-04-22 10:52:55,581
41,5377669554915211,61096-0017,2021-11-05 10:50:44,704
42,5108757932462349,0179-0063,2021-10-02 23:48:12,450
43,560223448253282656,59762-5091,2021-04-01 19:51:48,296
44,6763124613549446597,63304-549,2021-11-20 21:09:32,973
45,3585807296706190,36800-205,2021-08-13 16:42:42,845
46,3570433828726064,52099-8005,2021-05-25 04:55:35,752
47,3583192680832825,29860-217,2021-06-13 06:15:01,104
48,374288879786183,0615-5541,2021-04-06 16:25:34,902
49,560224389822588802,63402-208,2021-09-26 09:25:11,855
50,5502362529798643,64205-224,2021-03-24 02:08:25,53
51,201687462044224,59011-750,2021-06-22 19:21:52,275
52,3581984835148061,50436-6526,2021-09-19 23:07:25,116
53,5048379030406962,64269-9907,2021-02-19 03:01:12,1000
54,5602232918353095,52584-921,2021-01-26 12:07:37,27
55,378543396637376,64092-120,2021-07-31 04:36:06,180
56,6759054299076684,49288-0675,2021-06-02 06:39:08,443
57,30442532551718,51060-037,2021-05-12 11:18:14,420
58,201912094270728,21695-666,2021-06-22 09:19:15,788
59,201800525173324,0536-2220,2021-10-03 07:42:42,706
60,3582232644639311,67877-211,2021-11-16 09:00:38,561
61,67612045195559103,52584-921,2022-01-08 15:46:07,757
62,201812427201848,29860-217,2021-08-30 07:14:52,316
63,3530930191459115,51060-037,2021-07-16 16:40:22,670
64,3554786800385187,36800-205,2021-04-04 08:01:53,560
65,3574726107524944,63304-549,2021-03-13 15:16:11,76
66,3562285616091147,0179-0063,2021-06-02 15:22:44,531
67,3528399249977144,21695-666,2021-02-17 15:40:23,478
68,6382485140393800,64269-9907,2021-03-09 12:44:08,5
69,4508783279677033,64092-120,2021-11-11 09:22:35,445
70,63043267690305646,67877-211,2021-04-02 10:08:10,738
71,36349662156826,0536-2220,2021-07-19 22:04:27,111
72,3563809367745749,59762-5091,2021-05-25 15:59:57,499
73,3584711923995443,49288-0675,2021-07-07 12:04:30,204
74,5602212246561290983,61096-0017,2021-07-01 03:17:46,671
75,3575088138570696,64205-224,2021-10-17 02:27:55,527
76,3571718704008689,0615-5541,2021-03-19 08:26:03,324
77,3565710630971211,52099-8005,2021-05-16 17:09:48,106
78,501833806887937787,63402-208,2021-03-25 09:24:48,207
79,3583848725810809,50436-6526,2021-12-02 05:05:56,492
80,5602252512981844,59011-750,2021-06-22 09:11:56,873
81,3528508009682104,52584-921,2022-01-11 14:18:38,366
82,491162518818009348,64205-224,2021-05-24 15:49:43,963
83,3555565061880063,64092-120,2021-02-10 08:09:30,776
84,3542097869234042,50436-6526,2021-02-25 07:51:11,243
85,3530692398977352,63402-208,2021-05-01 14:32:32,185
86,4041594618019,0536-2220,2021-09-13 14:56:24,600
87,3588917293934070,21695-666,2021-03-07 20:04:56,395
88,3566087111265887,64269-9907,2021-06-05 15:41:20,951
89,5100144272351473,63304-549,2021-03-21 18:28:19,433
90,58938235402778226,52099-8005,2021-05-13 16:09:34,767
91,4041599910890163,51060-037,2021-07-24 02:05:03,228
92,3587697346625062,59762-5091,2021-05-28 01:39:38,505
93,675933333352625038,0179-0063,2021-10-04 11:56:21,57
94,3545007413694077,59011-750,2021-07-03 11:32:51,185
95,342664508383908,29860-217,2021-08-21 23:41:58,258
96,5602246734303688,61096-0017,2021-02-06 08:42:11,31
97,3581574413687828,49288-0675,2021-08-03 01:01:49,368
98,3533692252389790,67877-211,2021-06-06 09:13:09,743
99,5610129240354819,36800-205,2021-09-09 15:52:26,589
100,3545801308424222,0615-5541,2021-07-03 22:40:05,434
101,4041379987886,52584-921,2021-04-05 18:38:07,326
102,3578445690790814,63402-208,2022-01-07 16:48:38,579
103,36103908006760,52099-8005,2021-03-31 12:57:14,624
104,3556484672416144,50436-6526,2021-05-22 11:22:53,398
105,3528234153102407,59762-5091,2021-11-29 22:00:35,720
106,5478930777050543,51060-037,2021-05-10 21:47:12,373
107,5602225990021598,63304-549,2021-06-23 00:58:00,599
108,201480970289246,29860-217,2021-06-25 03:02:29,437
109,5393135935136786,49288-0675,2021-11-21 20:34:26,236
110,675902416555861372,67877-211,2021-02-26 03:42:02,377
111,3566581890007296,64092-120,2021-09-13 09:02:44,149
112,3534101289172350,59011-750,2021-09-20 21:16:21,976
113,3545228318723106,61096-0017,2021-05-07 12:31:52,293
114,372301591944030,0536-2220,2021-05-29 05:25:12,332
115,5537636769561665,21695-666,2021-08-12 08:35:44,24
116,3571961202849192,64205-224,2021-05-20 18:56:42,557
117,30199872127406,0615-5541,2021-11-23 12:13:07,756
118,5389095936311745,36800-205,2021-04-18 08:23:22,624
119,3587545861804820,64269-9907,2021-12-21 01:31:22,976
120,3542125651710042,0179-0063,2021-11-15 04:28:54,207
121,3581276144643977,61096-0017,2022-01-06 23:55:05,643
122,3546917430110510,29860-217,2021-10-14 18:04:06,984
123,675922562305990759,64269-9907,2021-05-13 04:28:01,975
124,3564710423395421,52099-8005,2021-04-30 12:26:13,383
125,3563761037432812,0536-2220,2022-01-22 13:02:31,203
126,30113550510163,0536-2220,2021-09-10 13:01:45,219
127,3532872043745077,29860-217,2021-11-22 23:23:10,544
128,3576078413157789,49288-0675,2021-03-24 09:58:33,96
129,201852912347003,63402-208,2021-06-16 08:23:53,459
130,201994244223278,0615-5541,2021-02-26 09:06:01,759
131,3562424209469952,52099-8005,2021-02-23 16:41:22,403
132,4041595263377,64205-224,2021-05-03 02:12:01,770
133,3535664746919241,36800-205,2021-02-10 05:38:25,864
134,6381794212598654,59762-5091,2021-06-09 13:34:40,92
135,5610341253475924894,63304-549,2021-10-22 04:01:33,75
136,4175004192313966,52584-921,2021-11-16 06:55:00,789
137,3528826901132535,0179-0063,2021-08-21 05:45:15,757
138,6763859511211842,67877-211,2021-08-08 05:34:45,96
139,3538879216543126,21695-666,2021-12-12 09:22:55,664
140,5602254428764736,61096-0017,2021-08-07 13:35:50,479
141,4844819842356318,64092-120,2021-09-25 02:01:56,348
142,3578445690790814,59011-750,2021-04-06 23:44:35,835
143,3557256909047093,50436-6526,2021-08-15 11:44:27,748
144,3556484672416144,64269-9907,2021-02-08 07:37:17,3
145,3534078307812177,51060-037,2022-01-09 21:47:35,401
146,6398116360084488,52584-921,2021-12-12 04:53:08,306
147,374622718935082,59762-5091,2021-02-22 18:50:57,345
148,4017955562129,0536-2220,2021-11-13 02:40:23,781
149,5610129240354819,0179-0063,2021-10-07 18:20:04,187
150,3581362847070799,61096-0017,2021-11-22 02:04:28,226
151,3576122616857603,0615-5541,2021-05-09 13:29:52,439
152,676170295490463509,64205-224,2021-10-11 21:28:56,511
153,3538154981936784,63304-549,2021-09-29 08:29:01,750
154,6763518242497035,29860-217,2021-04-29 16:03:23,840
155,56022510490341900,64269-9907,2021-05-07 14:22:43,827
156,337941525546353,67877-211,2021-07-12 02:23:47,285
157,5406382176454982,63402-208,2021-05-01 09:30:11,66
158,5602251534957915,21695-666,2021-03-04 04:36:42,101
159,201465793789936,50436-6526,2021-05-21 09:54:30,1
160,6761572180529848,36800-205,2021-03-06 07:50:39,975
161,30167950364225,51060-037,2021-06-02 10:22:47,532
162,3545007413694077,52099-8005,2021-12-26 11:56:33,693
163,3550138997784802,64092-120,2021-02-21 22:42:43,980
